Mach,Altitude,PowerCode,Thrust,RamDrag,FuelFlow,EINox,ThrustNet,TSFC,,,Mach,Altitude,PowerCode,,Thrust_Equation (lb),TSFC_Equation (lb/lb/hr)
0.2,5000,38,68550.7,18084.5,16750.4,0.33191,50466.2,0.331913241,,,,,,,,
0.2,5000,34,55478.3,16226.8,13150.1,0.33502,39251.5,0.335021592,,,,,,,,
0.2,5000,30,42154.9,14118.1,9582.2,0.34177,28036.8,0.341772242,,,,,,,,
0.2,5000,26,28386.8,11564.8,6079.6,0.36141,16822,0.36140768,,,,,,,,
0.2,5000,24,21934.7,10159.2,4540.8,0.38562,11775.5,0.385614199,,,,,,,,
0.2,5000,22,15176.4,8447.6,3104.1,0.46131,6728.8,0.461315539,,,,,,,,
0.2,5000,21,11590.2,6433.7,1858,0.57279,5156.5,0.360321924,,,,,,,,
0.25,5000,50,109201.5,28557.6,29889.5,0.37064,80643.9,0.370635597,,,,,,,,
0.25,5000,48,103093.2,27825.5,27036.1,0.3592,75267.7,0.359199232,,,,,,,,
0.25,5000,46,96876.5,26985.1,24827.9,0.35524,69891.4,0.355235408,,,,,,,,
0.25,5000,42,84294.9,25156,20814.7,0.35196,59138.9,0.351962921,,,,,,,,
0.25,5000,38,71496.7,23110.4,17050,0.35237,48386.3,0.352372469,,,,,,,,
0.25,5000,34,58483.2,20849.4,13416.8,0.35651,37633.8,0.356509308,,,,,,,,
0.25,5000,30,45170.8,18289.5,9792,0.36427,26881.3,0.364268097,,,,,,,,
0.25,5000,26,31336,15207.2,6205.1,0.38472,16128.8,0.38472174,,,,,,,,
0.25,5000,24,24802.5,13512.4,4661.9,0.41292,11290.1,0.412919283,,,,,,,,
0.25,5000,22,17919.8,11468.3,3262.5,0.5057,6451.5,0.50569635,,,,,,,,
0.25,5000,21,14258.2,8830.7,1829.1,0.63241,5427.5,0.337005988,,,,,,,,
